Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2022,Qatar,Senegal,2022-11-25,13:00:00,1,3,0,1,1,2,,,,,90 minutes,10,12,2,4,7,12,6,7,3,3,0,0,5.25,3.6,1.7,5.9,3.7,1.77,6.25,3.65,1.74,5.44,3.55,1.7,0.17444717444717445,0.26732186732186736,0.5582309582309583
World Cup 2022,Wales,Iran,2022-11-25,10:00:00,0,2,0,0,0,2,,,,,90 minutes,10,21,3,6,9,10,2,7,1,2,1,0,2.1,3.2,3.8,2.22,3.25,4.0,2.2,3.2,4.0,2.11,3.16,3.76,0.44865346564562664,0.29957557357983294,0.2517709607745405
World Cup 2022,Brazil,Serbia,2022-11-24,19:00:00,2,0,0,0,2,0,,,,,90 minutes,24,4,10,0,7,12,6,4,0,3,0,0,1.44,4.33,7.0,1.52,4.7,7.2,1.48,4.6,7.5,1.44,4.46,7.08,0.6551964543598426,0.2115432498381555,0.1332602958020019
World Cup 2022,Portugal,Ghana,2022-11-24,16:00:00,3,2,0,0,3,2,,,,,90 minutes,11,8,5,3,14,19,3,3,2,4,0,0,1.28,5.25,10.0,1.34,5.8,11.5,1.33,5.75,11.0,1.29,5.38,10.4,0.7332370570921604,0.17581334640313886,0.09094959650470066
World Cup 2022,Uruguay,South Korea,2022-11-24,13:00:00,0,0,0,0,0,0,,,,,Penalties,10,6,0,0,7,10,4,3,1,1,0,0,1.75,3.5,5.0,1.83,3.65,5.5,1.8,3.55,5.2,1.77,3.46,4.94,0.5347993141512623,0.27358230810628154,0.1916183777424563
World Cup 2022,Switzerland,Cameroon,2022-11-24,10:00:00,1,0,0,0,1,0,,,,,Penalties,8,7,3,3,12,10,11,5,2,1,0,0,1.72,3.4,5.5,1.84,3.6,5.3,1.83,3.45,5.5,1.8,3.37,4.95,0.5269367448471927,0.2814498933901919,0.19161336176261548
World Cup 2022,Belgium,Canada,2022-11-23,19:00:00,1,0,1,0,0,0,,,,,90 minutes,9,21,3,4,11,14,4,4,3,2,0,0,1.6,4.0,5.75,1.64,4.3,6.0,1.6,4.33,6.0,1.57,4.16,5.74,0.6057217653355792,0.22860172393674505,0.16567651072767584
World Cup 2022,Spain,Costa Rica,2022-11-23,16:00:00,7,0,3,0,4,0,,,,,90 minutes,17,0,7,0,8,12,5,0,0,2,0,0,1.12,9.0,17.0,1.17,9.4,23.0,1.17,9.0,23.0,1.14,8.33,17.4,0.8316893722650858,0.11382063437961558,0.05448999335529873
World Cup 2022,Germany,Japan,2022-11-23,13:00:00,1,2,1,0,0,2,,,,,90 minutes,25,10,9,3,6,14,6,6,0,0,0,0,1.4,5.0,7.5,1.48,5.1,7.6,1.45,5.0,7.5,1.41,4.85,7.17,0.6723256906542002,0.19545963377781905,0.1322146755679808
World Cup 2022,Morocco,Croatia,2022-11-23,10:00:00,0,0,0,0,0,0,,,,,Penalties,8,6,2,2,17,11,0,5,1,0,0,0,3.4,3.25,2.25,3.6,3.35,2.34,3.55,3.25,2.25,3.44,3.22,2.21,0.27587089170937457,0.29471921350318275,0.42940989478744274
World Cup 2022,France,Australia,2022-11-22,19:00:00,4,1,2,1,2,0,,,,,90 minutes,22,4,7,1,5,11,8,1,0,3,0,0,1.18,7.0,15.0,1.24,7.2,15.0,1.23,7.25,15.0,1.2,6.58,13.69,0.7873854281573579,0.14359612671562758,0.06901844512701458
World Cup 2022,Mexico,Poland,2022-11-22,16:00:00,0,0,0,0,0,0,,,,,90 minutes,13,8,4,1,14,16,6,5,2,1,0,0,2.45,3.1,3.2,2.58,3.2,3.3,2.55,3.15,3.2,2.47,3.09,3.09,0.38480697384806967,0.30759651307596514,0.30759651307596514
World Cup 2022,Denmark,Tunisia,2022-11-22,13:00:00,0,0,0,0,0,0,,,,,90 minutes,11,11,4,1,9,10,11,9,2,1,0,0,1.57,4.0,6.0,1.62,3.95,7.4,1.6,4.0,7.5,1.57,3.82,6.45,0.604446690495524,0.24842442515130178,0.14712888435317406
World Cup 2022,Argentina,Saudi Arabia,2022-11-22,10:00:00,1,2,1,0,0,2,,,,,Penalties,14,3,6,2,7,21,9,2,0,6,0,0,1.11,8.5,23.0,1.13,11.0,34.0,1.13,10.0,31.0,1.11,9.08,25.5,0.8577976451131764,0.10486292798189711,0.037339426904926504
World Cup 2022,USA,Wales,2022-11-21,19:00:00,1,1,1,0,0,1,,,,,90 minutes,6,7,1,3,15,10,5,3,4,2,0,0,2.45,3.1,3.2,2.56,3.2,3.3,2.5,3.1,3.4,2.43,3.07,3.17,0.3909162847307301,0.30942233612236947,0.29966137914690033
World Cup 2022,Senegal,Netherlands,2022-11-21,16:00:00,0,2,0,0,0,2,,,,,Extra time,14,9,3,3,13,13,6,7,2,1,0,0,5.5,3.6,1.66,6.4,3.8,1.72,6.25,3.75,1.68,5.85,3.63,1.65,0.16241610738255033,0.26174496644295303,0.5758389261744966
World Cup 2022,England,Iran,2022-11-21,13:00:00,6,2,3,0,3,2,,,,,90 minutes,13,8,7,3,9,14,8,0,0,2,0,0,1.36,4.75,9.0,1.39,4.9,12.0,1.4,4.75,11.0,1.37,4.56,10.14,0.6965985410697014,0.2092850879968182,0.09411637093348035
World Cup 2022,Qatar,Ecuador,2022-11-20,16:00:00,0,2,0,2,0,0,,,,,90 minutes,5,6,0,3,15,15,1,3,4,2,0,0,3.75,3.0,2.2,4.0,3.2,2.26,3.75,3.2,2.25,3.59,3.11,2.22,0.2651494494775125,0.3060728371782218,0.4287777133442657
