Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,Jordan,Algeria,2026-06-23,04:00:00,1,2,1,0,0,2,,,,,90 minutes,8,17,4,8,11,6,1,10,1,1,0,0,0.64,1.89,7.0,4.5,1.45,7.6,4.7,1.51,7.5,4.5,1.53,6.87,4.37,1.46,0.1374086573355186,0.21601772903776037,0.6465736136267212
World Cup 2026,Portugal,Uzbekistan,2026-06-23,18:00:00,5,0,3,0,2,0,,,,,90 minutes,17,7,9,2,14,15,3,2,1,1,0,0,2.6,0.25,1.13,9.0,19.0,1.16,9.6,25.0,1.17,9.0,22.0,1.13,8.48,19.31,0.8390855309849015,0.11181210495435596,0.04910236406074256
World Cup 2026,England,Ghana,2026-06-23,21:00:00,0,0,0,0,0,0,,,,,90 minutes,19,2,3,1,14,24,9,2,1,1,0,0,1.36,0.17,1.18,7.5,15.0,1.2,8.2,21.0,1.2,8.0,19.0,1.17,7.29,15.28,0.8083652822499003,0.1297376378919593,0.061897079858140275
World Cup 2026,Panama,Croatia,2026-06-24,00:00:00,0,1,0,0,0,1,,,,,90 minutes,8,6,1,2,19,12,7,2,1,1,0,0,0.55,1.65,7.5,4.6,1.42,9.0,4.8,1.45,8.0,4.8,1.44,7.82,4.55,1.4,0.12041815535265318,0.20696043403466985,0.672621410612677
World Cup 2026,Colombia,DR Congo,2026-06-24,03:00:00,1,0,0,0,1,0,,,,,90 minutes,20,7,9,1,12,16,5,4,2,1,0,0,0.98,0.37,1.53,3.9,7.0,1.56,4.1,8.0,1.55,4.1,7.1,1.52,3.93,6.71,0.6198490472015438,0.2397380538794775,0.14041289891897862
World Cup 2026,Bosnia and Herzegovina,Qatar,2026-06-24,20:00:00,3,1,2,1,1,0,,,,,90 minutes,14,9,5,3,9,14,5,5,1,1,0,0,0.68,0.77,1.4,5.0,7.0,1.45,5.2,8.0,1.45,5.2,8.0,1.4,4.87,7.02,0.6725381343762171,0.1933374513607195,0.13412441426306324
World Cup 2026,Switzerland,Canada,2026-06-24,20:00:00,2,1,0,0,2,1,,,,,90 minutes,6,13,4,7,19,13,2,7,1,2,0,0,1.12,1.66,2.6,3.0,3.0,2.7,3.0,3.3,2.6,3.1,3.25,2.47,2.95,3.11,0.3800113491862964,0.3181789940644584,0.3018096567492451
World Cup 2026,Morocco,Haiti,2026-06-24,23:00:00,4,2,2,2,2,0,,,,,90 minutes,22,9,11,2,10,18,9,1,0,3,0,0,3.76,1.22,1.33,5.5,9.0,1.32,6.0,12.0,1.33,6.25,12.0,1.28,5.66,9.93,0.7379797528854107,0.16689294764899748,0.09512729946559172
World Cup 2026,Scotland,Brazil,2026-06-24,23:00:00,0,3,0,2,0,1,,,,,90 minutes,14,21,5,9,10,11,7,6,1,2,0,0,1.05,4.34,10.0,5.5,1.29,11.5,5.6,1.35,11.0,5.75,1.35,9.9,5.28,1.3,0.09532538955087076,0.17873510540788268,0.7259395050412465
World Cup 2026,Czech Republic,Mexico,2026-06-25,02:00:00,0,3,0,0,0,3,,,,,90 minutes,13,11,1,5,9,13,5,1,0,1,0,0,0.48,1.75,4.2,3.9,1.75,4.9,4.1,1.79,4.85,4.0,1.77,4.42,3.84,1.73,0.21249672132196296,0.24459258027163447,0.5429106984064025
