Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2014,Spain,Chile,2014-06-18,20:00:00,0,2,0,2,0,0,,,,,90 minutes,15,7,9,4,14,15,7,1,1,2,0,0,1.6,4.5,5.5,1.59,4.56,5.86,1.73,5.1,6.2,1.57,4.41,5.55,0.6101683506719817,0.21722546724603428,0.17260618208198403
World Cup 2014,Australia,Netherlands,2014-06-18,17:00:00,2,3,1,1,1,2,,,,,90 minutes,10,15,8,14,18,25,3,2,1,1,0,0,13.0,7.0,1.25,13.87,6.43,1.26,15.0,7.0,1.36,12.68,6.48,1.24,0.07585758953521744,0.14843738199175263,0.77570502847303
World Cup 2014,Russia,South Korea,2014-06-17,23:00:00,1,1,0,0,1,1,,,,,90 minutes,16,10,10,6,15,7,4,4,1,3,0,0,1.85,3.6,4.75,1.83,3.65,4.97,2.05,3.85,5.1,1.83,3.56,4.6,0.5230478331970564,0.26887009403107115,0.20808207277187246
World Cup 2014,Brazil,Mexico,2014-06-17,20:00:00,0,0,0,0,0,0,,,,,90 minutes,14,13,8,3,13,18,4,3,2,2,0,0,1.36,5.25,10.0,1.37,5.37,9.69,1.38,5.8,11.0,1.34,5.25,9.17,0.7135890598574378,0.18213511242075558,0.10427582772180663
World Cup 2014,Belgium,Algeria,2014-06-17,17:00:00,2,1,0,1,2,0,,,,,90 minutes,16,3,10,1,20,18,7,2,0,0,0,0,1.33,5.5,11.0,1.35,5.37,10.98,1.36,5.7,13.0,1.34,5.14,9.89,0.7162344944966382,0.18672261140573837,0.09704289409762337
World Cup 2014,Ghana,USA,2014-06-16,23:00:00,1,2,0,1,1,1,,,,,90 minutes,21,8,8,7,10,12,7,3,2,0,0,0,2.5,3.4,3.0,2.49,3.49,3.01,2.6,3.65,3.1,2.42,3.39,2.99,0.3963175983453044,0.2829169876093323,0.3207654140453634
World Cup 2014,Iran,Nigeria,2014-06-16,20:00:00,0,0,0,0,0,0,,,,,90 minutes,7,10,3,6,18,16,2,7,1,0,0,0,5.0,3.5,1.85,5.04,3.55,1.85,5.3,3.7,2.0,4.77,3.43,1.84,0.2006798286755424,0.27907952850797,0.5202406428164876
World Cup 2014,Germany,Portugal,2014-06-16,17:00:00,4,0,3,0,1,0,,,,,90 minutes,13,14,9,9,8,11,4,6,0,1,0,1,2.15,3.5,3.6,2.18,3.48,3.62,2.18,3.75,4.0,2.07,3.49,3.64,0.462576512870184,0.2743648657997939,0.26305862133002217
World Cup 2014,Argentina,Bosnia & Herzegovina,2014-06-15,23:00:00,2,1,1,0,1,1,,,,,90 minutes,11,16,5,11,10,14,2,6,1,1,0,0,1.3,5.75,12.0,1.33,5.8,10.6,1.36,6.05,12.0,1.31,5.56,10.24,0.7333845147129291,0.1727938335025067,0.09382165178456418
World Cup 2014,France,Honduras,2014-06-15,20:00:00,3,0,1,0,2,0,,,,,90 minutes,20,4,10,2,13,14,8,0,3,4,0,1,1.25,6.5,14.0,1.26,6.4,14.55,1.3,6.5,16.3,1.26,5.89,12.4,0.7601471252500483,0.16261211847454346,0.07724075627540813
World Cup 2014,Switzerland,Ecuador,2014-06-15,17:00:00,2,1,0,1,2,0,,,,,90 minutes,18,10,12,6,9,15,8,5,1,1,0,0,2.55,3.2,3.1,2.5,3.35,3.12,2.6,3.35,3.3,2.4,3.21,3.13,0.39770338791844295,0.29734832741565825,0.30494828466589874
World Cup 2014,Ivory Coast,Japan,2014-06-15,02:00:00,2,1,0,1,2,0,,,,,90 minutes,19,7,9,4,12,13,8,5,2,2,0,0,2.75,3.4,2.7,2.76,3.41,2.75,2.8,3.47,2.9,2.68,3.31,2.7,0.3568547904072065,0.288933788003418,0.3542114215893754
World Cup 2014,England,Italy,2014-06-14,23:00:00,1,2,1,1,0,1,,,,,90 minutes,18,12,8,5,8,12,9,2,1,0,0,0,2.5,3.0,3.4,2.49,3.05,3.45,3.1,3.1,3.45,2.51,2.99,3.23,0.38218196352181844,0.32082833727082416,0.29698969920735735
World Cup 2014,Uruguay,Costa Rica,2014-06-14,20:00:00,1,3,1,0,0,3,,,,,90 minutes,9,12,5,4,20,18,5,6,3,0,1,0,1.44,4.33,9.5,1.46,4.35,9.42,1.48,4.7,10.5,1.44,4.2,9.02,0.665556351983809,0.22819074925159166,0.10625289876459924
World Cup 2014,Colombia,Greece,2014-06-14,17:00:00,3,0,1,0,2,0,,,,,90 minutes,12,12,8,7,19,14,4,4,1,2,0,0,1.85,3.3,5.5,1.88,3.32,5.32,1.91,3.75,6.0,1.84,3.26,5.12,0.5198066669988539,0.2933878120484329,0.18680552095271313
World Cup 2014,Chile,Australia,2014-06-13,23:00:00,3,1,2,1,1,0,,,,,90 minutes,11,13,9,6,9,18,3,1,0,0,0,0,1.44,4.5,9.0,1.44,4.55,9.44,1.5,4.85,10.5,1.42,4.4,8.63,0.6723730668300439,0.21699312611333232,0.11063380705662366
World Cup 2014,Spain,Netherlands,2014-06-13,20:00:00,1,5,1,1,0,4,,,,,90 minutes,9,13,6,11,5,18,4,1,1,3,0,0,1.85,3.4,5.25,1.85,3.44,5.31,1.91,3.5,5.5,1.84,3.32,4.99,0.5200331479226047,0.2882111422221665,0.19175570985522894
World Cup 2014,Mexico,Cameroon,2014-06-13,17:00:00,1,0,0,0,1,0,,,,,90 minutes,9,10,5,4,11,12,2,5,1,1,0,0,2.2,3.2,3.9,2.22,3.25,3.82,2.25,3.3,4.0,2.18,3.14,3.74,0.43914441702191304,0.30488370353750655,0.2559718794405803
World Cup 2014,Brazil,Croatia,2014-06-12,21:00:00,3,1,1,1,2,0,,,,,90 minutes,14,10,9,4,5,21,7,3,2,2,0,0,1.33,5.0,13.0,1.33,5.16,13.33,1.33,5.5,14.0,1.31,5.11,12.02,0.732415561186466,0.1877621105977046,0.0798223282158295
